  23 | 7 | 1 | CFG_VERSION | 0x0A | Indicates the version of the user config structure. | 
 147 | 109 | 1 | CFG_ZONE_PRESENCE_LEVEL |  |  | 
 148 | 110 | 1 | CFG_ZONE_NON_PRESENCE_LEVEL |  |  | 
 149 | 111 | 1 | CFG_ZONE_ORIENTATION_LEVEL |  |  | 
 150 | 112 | 1 | CFG_ZONE_TURNON_LEVEL |  |  | 
 151 | Zone 4 |  |  |  |  | 
 152 | 113 | 1 | CFG_ZONE_COMMON_FUNC1 |  |  | 
 153 | 114 | 1 | CFG_ZONE_ONOFF_FUNC2 |  | See decription for Zone 1 | 
 154 | 115 | 1 | CFG_ZONE_DALI_FUNC1 |  |  | 
 155 | 116 | 2 | CFG_ZONE_T_OFFPIR_DELAY |  |  | 
 156 | 118 | 2 | CFG_ZONE_T_PRESENCE_DELAY |  |  | 
 157 | 120 | 2 | CFG_ZONE_T_NON_PRESENCE_DELAY |  |  | 
 158 | 122 | 2 | CFG_ZONE_T_ORIENTATION_DELAY |  |  | 
 159 | 124 | 2 | CFG_ZONE_T_ON_DELAY |  |  | 
 160 | 126 | 1 | CFG_ZONE_TYPE |  |  | 
 161 | 127 | 1 | CFG_ZONE_RESERVED |  |  | 
 162 | 128 | 2 | CFG_ZONE_DESKDAYLIGHTFACTORPCT |  |  | 
 163 | 130 | 2 | CFG_ZONE_DESKMAXARTIFICIALLIGHT |  |  | 
 164 | 132 | 2 | CFG_ZONE_V_SETPOINT |  |  | 
 165 | 134 | 2 | CFG_ZONE_DAYLIGHT |  |  | 
 166 | 136 | 1 | CFG_ZONE_PRESENCE_LEVEL |  |  | 
 167 | 137 | 1 | CFG_ZONE_NON_PRESENCE_LEVEL |  |  | 
 168 | 138 | 1 | CFG_ZONE_ORIENTATION_LEVEL |  |  | 
 169 | 139 | 1 | CFG_ZONE_TURNON_LEVEL |  |  | 
 170 | Zone 5 |  |  |  |  | 
 171 | 140 | 1 | CFG_ZONE_COMMON_FUNC1 |  |  | 
 172 | 141 | 1 | CFG_ZONE_ONOFF_FUNC2 |  | See decription for Zone 1 | 
 173 | 142 | 1 | CFG_ZONE_DALI_FUNC1 |  |  | 
 174 | 143 | 2 | CFG_ZONE_T_OFFPIR_DELAY |  |  | 
 175 | 145 | 2 | CFG_ZONE_T_PRESENCE_DELAY |  |  | 
 176 | 147 | 2 | CFG_ZONE_T_NON_PRESENCE_DELAY |  |  | 
 177 | 149 | 2 | CFG_ZONE_T_ORIENTATION_DELAY |  |  | 
 178 | 151 | 2 | CFG_ZONE_T_ON_DELAY |  |  | 
 179 | 153 | 1 | CFG_ZONE_TYPE |  |  | 
 180 | 154 | 1 | CFG_ZONE_RESERVED |  |  | 
 181 | 155 | 2 | CFG_ZONE_DESKDAYLIGHTFACTORPCT |  |  | 
 182 | 157 | 2 | CFG_ZONE_DESKMAXARTIFICIALLIGHT |  |  | 
 183 | 159 | 2 | CFG_ZONE_V_SETPOINT |  |  | 
 184 | 161 | 2 | CFG_ZONE_DAYLIGHT |  |  | 
 185 | 163 | 1 | CFG_ZONE_PRESENCE_LEVEL |  |  | 
 186 | 164 | 1 | CFG_ZONE_NON_PRESENCE_LEVEL |  |  | 
 187 | 165 | 1 | CFG_ZONE_ORIENTATION_LEVEL |  |  | 
 188 | 166 | 1 | CFG_ZONE_TURNON_LEVEL |  |  | 
 192 | 1.1.3        0x010D - SetUserConfig |  |  |  |  | 
 193 | With this telegram, the app can configure each zone/channel. This telegram contains parameters for all sensor variants.  |  |  |  |  | 
 194 | The telegram can also be used to set Factory settings for a specific country.  |  |  |  |  | 
 195 | ·         If Config State is set to 255, then this tells the sensor, that the user has made changes to the user configuration.  |  |  |  |  | 
 196 | ·         If Config State is set to a number between 1..254, then the telegram is handled as a factory reset command towards the sensor. All parameter settings in this telegram will then be stored as factory setting in the sensor. |  |  |  |  | 
 197 | BLE device -> Sensor |  |  |  |  | 
 198 | Byte  | Field  | Field  | Example | Example  | 
 199 | no. | Size | Description |  | Description | 
 200 | 0 | 1 | Protocol Version | 0x01 | Protocol Id | 
 201 | 1 | 2 | Telegram Type |  | SetUserConfig Id | 
 202 | 3 | 2 | Total Length | 0xA7 | Total length of 167 bytes | 
 203 | 5 | 2 | CRC16 | ToBeCalc | Calculated value, see section 4.5 | 
 204 | 7 | 160 | See definition from Byte no. 7 in section 4.4.12 |  |  | 
